,0
1382,Piroxicam
1383,Pizotifen
1384,Plerixafor hydrochloride
1385,Plinabulin
1386,Pluripotin
1387,Podofilox
1388,Polydatin
1389,Polymyxin B sulphate
1390,Pomalidomide
1391,Ponatinib
1392,Posaconazole
1393,Pracinostat
1394,Pralatrexate
1395,Pramipexole hydrochloride
1396,Pramiracetam hydrochloride
1397,Pranlukast
1398,Prasugrel hydrochloride
1399,Pravadoline
1400,Pravastatin sodium
1401,Praziquantel
1402,Prazosin hydrochloride
1403,Prednisolone
1404,Prednisolone acetate
1405,Prednisone???
1406,Pregabalin
1407,Pregnenolone
1408,Primidone
1409,Probucol
1410,Procarbazine hydrochloride
1411,Procaterol
1412,Prochlorperazine dimaleate
1413,Progesterone
1414,Propafenone hydrochloride
1415,Proparacaine
1416,Propofol
1417,Propylthiouracil
1418,Proscillaridin
1419,Protionamide
1420,Prucalopride
1421,Prulifloxacin
1422,Puerarin
1423,Purfalcamine
1424,Purvalanol A
1425,Purvalanol B
1426,Pyrantel pamoate
1427,Pyrazinamide
1428,Pyrimethamine
1429,Pyronaridine
1430,Pyroxamide
1431,QS11
1432,Quercetine
1433,Quinidine
1434,Quinine
1435,Quisinostat hydrochloride
1436,Quizartinib
1437,R-1487
1438,R-547
1439,R406
1440,RAF-265 derivative
1441,RD-162
1442,RDEA-119
1443,RG-108
1444,RGB-286147
1445,RIBOFLAVIN
1446,RITA
1447,RO-4929097
1448,RO495
1449,RWJ-67657
1450,Rabeprazole
1451,Rabusertib
1452,Racecadotril
1453,Raloxifene hydrochloride
1454,Raltegravir
1455,Raltitrexed
1456,Ramatroban
1457,Ramelteon
1458,Ramipril
1459,Ranolazine
1460,Rapamycin
1461,Rasagiline mesylate
1462,Rebamipide
1463,Rebeccamycin
1464,Regorafenib
1465,Repaglinide
1466,Reserpine
1467,Resistomycin
1468,Resveratrol
1469,Retaspimycin
1470,Retigabine
1471,Reversine
1472,Rhein
1473,Ribavirin
1474,Ribitol
1475,Ridaforolimus
1476,Rifabutin
1477,Rifampicin
1478,Rifapentine
1479,Rifaximin
1480,Rilmenidine
1481,Riluzole
1482,Rimantadine
1483,Rimonabant
1484,Risedronate sodium
1485,Risperidone???
1486,Ritodrine hydrochloride
1487,Ritonavir
1488,Rivaroxaban
1489,Rivastigmine tartrate
1490,Rizatriptan benzoate
1491,Ro 51
1492,Ro-31-8425
1493,Robotnikinin
1494,Rocuronium bromide
1495,Rofecoxib
1496,Roflumilast
1497,Rolipram
1498,Rolofylline
1499,Romidepsin
1500,Rose Bengal disodium
1501,Rosiglitazone
1502,Rotenone
1503,Rotundine
1504,Roxithromycin
1505,Ruboxistaurin mesilate
1506,Rucaparib
1507,Rupintrivir
1508,Rutaecarpine
1509,Ruxolitinib
1510,S-(+)-Rolipram
1511,S-99
1512,S-Trityl-L-cysteine
1513,S31-201
1514,S6K-18
1515,SAG
1516,SANT-2
1517,SB-202190
1518,SB-203580
1519,SB-206553
1520,SB-216763
1521,SB-224289
1522,SB-239063
1523,SB-242235
1524,SB-265610
1525,SB-3CT
1526,SB-408124
1527,SB-415286
1528,SB-431542
1529,SB-505124
1530,SB-525334
1531,SB-590885
1532,SB-743921
1533,SB-747651-A
1534,SB1518
1535,SB612111
1536,SCH-79797
1537,SCH-900435
1538,SCH-900776
1539,SD-06
1540,SD-169
1541,SD-208
1542,SG-00529
1543,SGC0946
1544,SGI-1776
1545,SGX-523
1546,SID 7969543
1547,SJ-172550
1548,SJN 2511
1549,SK&F-89976A
1550,SL-0101-1
1551,SL-327
1552,SM-164
1553,SMI-4a
1554,SN-38
1555,SNS-032
1556,SNS-314
1557,SNX-2112
1558,SNX-5422
1559,SP-600125
1560,SR 33805
1561,SR-3306
1562,SR-3677
1563,SR1664
1564,SR9011
1565,SRT1720
1566,SSR-504734
1567,SSR-69071
1568,STF-083010
1569,STF-62247
1570,STX-0119
1571,SU-5402
1572,SU-6656
1573,SU-MI-2
1574,Safinamide mesilate
1575,Salicin
1576,Salidroside
1577,Salinomycin
1578,Salirasib
1579,Sapitinib
1580,Saracatinib
1581,Sarafloxacin hydrochloride
1582,Saxagliptin
1583,Sclareolide
1584,Scopine
1585,Scopolamine
1586,Scopolamine methylbromide
1587,Secin H3
1588,Secnidazole
1589,Secoisolariciresinol
1590,Selegiline hydrochloride
1591,Selenomethionine
1592,Seliciclib
1593,Selumetinib
1594,Semagacestat
1595,Seocalcitol
1596,Sepantronium bromide
1597,Serdemetan
1598,Sesamin
1599,Shikimic acid
1600,Shikonin
1601,Sibutramine hydrochloride
1602,Sildenafil citrate
1603,Silmitasertib
1604,Silodosin
1605,Silver sulfadiazine
1606,Silybin
1607,Simvastatin
1608,Sinomenine
1609,Sipatrigine
1610,Sitafloxacin
1611,Sitagliptin
1612,Sivelestat
1613,Sodium 2-mercaptoethanesulfonate
1614,Sodium Danshensu
1615,Sodium cloxacillin
1616,Sodium cromoglycate
1617,Sofosbuvir
1618,Solanesol
1619,Sophocarpine
1620,Sorafenib
1621,Sotalol
1622,Sotrastaurin
1623,Sparfloxacin
1624,Spautin-1
1625,Spectinomycin hydrochloride
1626,Spermidine
1627,Stanozolol
1628,Stauprimide
1629,Stavudine
1630,StemRegenin 1
1631,Stigmasterol
1632,Streptomycin sulfate
1633,Streptozocin
1634,Strontium ranelate heptahydrate
1635,Suberoylanilide hydroxamic acid
1636,Sulbactam
1637,Sulfadoxine
1638,Sulfafurazole
1639,Sulfameter
1640,Sulfamethizole
1641,Sulfamethoxazole
1642,Sulfanilamide
1643,Sulfaphenazole
1644,Sulfapyridine
1645,Sulfasalazine
1646,Sulindac
1647,Sulphadimethoxine
1648,Sumanirole maleate
1649,Sumatriptan succinate
1650,Sunitinib malate
1651,Suplatast tosilate
1652,Suramin sodium
1653,Synephrine
1654,TAE-684
1655,TAK-285
1656,TAK-715
1657,TAK-733
1658,TAK-875
1659,TAK-901
1660,TAME
1661,TCN-201
1662,TCS JNK 5a
1663,TCS-2312
1664,TG-100115
1665,TG-101209
1666,TG-101348
1667,TG-46
1668,TG-89
1669,TGX-221
1670,TM-30089
1671,TPCA-1
1672,TPCK
1673,TRAM-34
1674,TW-37
1675,TWS-119
1676,Tacrine
1677,Tadalafil
1678,Takeda-6d
1679,Talmapimod
1680,Taltirelin
1681,Tamibarotene
1682,Tamoxifen
1683,Tamsulosin hydrochloride
1684,Tandutinib
1685,Tanespimycin
1686,Tanshinone I
1687,Tanshinone IIA
1688,Tariquidar
1689,Taxifolin
1690,Tazarotene
1691,Tebipenem pivoxil
1692,Tegafur
1693,Tegaserod maleate
1694,Teicoplanin
1695,Telaprevir
1696,Telatinib
1697,Telbivudine
1698,Telithromycin
1699,Telmisartan
1700,Telotristat etiprate
1701,Temocapril hydrochloride
1702,Temozolomide
1703,Tempol
1704,Temsirolimus
1705,Teniposide
1706,Tenofovir disoproxil fumarate
1707,Tenoxicam
1708,Terameprocol
1709,Terazosin hydrochloride
1710,Terbinafine hydrochloride
1711,Teriflunomide
1712,Tesmilifene hydrochloride
1713,Testosterone
1714,Testosterone cypionate
1715,Testosterone propionate
1716,Tetrabenazine
1717,Tetracycline hydrochloride
1718,Tetrahydroberberine
1719,Tetrahydropapaverine
1720,Tetrahydrouridine
1721,Tetrandrine
1722,Thalidomide
1723,Thapsigargin
1724,Theobromine
1725,Theophyllamine
1726,Thiabendazole
1727,Thiamphenicol
1728,Thiazovivin
1729,ThioTEPA
1730,Ticlopidine hydrochloride
1731,Tie-2 kinase inhibitor
1732,Tigecycline
1733,Tioconazole
1734,Tioguanine
1735,Tiopronin
1736,Tiotropium bromide
1737,Tioxolone
1738,Tipifarnib
1739,Tiplasinin
1740,Tivantinib
1741,Tivozanib
1742,Tizanidine hydrochloride
1743,Tobramycin
1744,Tofacitinib
1745,Tolcapone
1746,Tolnaftate
1747,Tolterodine tartrate
1748,Tolvaptan
1749,Topotecan hydrochloride
1750,Torasemide
1751,Torcetrapib
1752,Toremifene
1753,Torin-1
1754,Torin-2
1755,Tosedostat
1756,Tozasertib
1757,Trametinib
1758,Tranexamic acid
1759,Tranilast
1760,Tranylcypromine
1761,Travoprost
1762,Trazodone hydrochloride
1763,Tretinoin
1764,Triamcinolone acetonide
1765,Trichlormethiazide
1766,Trichostatin A
1767,Tricirbine
1768,Triciribine phosphate
1769,Trifluoperazine hydrochloride
1770,Trifluridine
1771,Trilostane
1772,Trimetrexate
1773,Trioxsalen
1774,Tripterin
1775,Triptolide
1776,Troglitazone
1777,Tropisetron
1778,Trospium chloride
1779,Troxacitabine
1780,Tubacin
1781,Tubastatin A
1782,Turofexorate isopropyl
1783,Tyrphostin B42
1784,U-0126
1785,U-73122??
1786,UK-383367
1787,UNC-0638
1788,UNC1215
1789,UNC669
1790,Ubenimex
1791,Ubidecarenone
1792,Uridine
1793,Uridine triacetate
1794,Ursodiol
1795,Ursolic acid
1796,VCH-916
1797,VE-821
1798,VER-155008
1799,VER-82576
1800,VU0357121
1801,VU0482089-2
1802,VU0483486-1
1803,VU0483487-1
1804,VU0483488-1
1805,VX-702
1806,VX-745
1807,VX-765
1808,Vadimezan
1809,Valaciclovir
1810,Valproic acid sodium salt
1811,Valspodar
1812,Vancomycin hydrochloride
1813,Vandetanib
1814,Vapiprost hydrochloride
1815,Vardenafil
1816,Varenicline dihydrochloride
1817,Varespladib
1818,Vargatef
1819,Varlitinib tosylate
1820,Vatalanib dihydrochloride
1821,Vecuronium bromide
1822,Veliflapon
1823,Veliparib
1824,Vemurafenib
1825,Venlafaxine hydrochloride
1826,Verapamil
1827,Verteporfin
1828,Vicriviroc maleate
1829,Vidarabine
1830,Vidofludimus
1831,Vinblastine
1832,Vincristine sulfate
1833,Vindesine sulfate salt
1834,Vinflunine
1835,Vinorelbine tartrate
1836,Vinpocetine
1837,Viracept
1838,Vismodegib
1839,Vitamin B12
1840,Volasertib
1841,Vorapaxar
1842,Voriconazole
1843,Vosaroxin
1844,WAY-100635
1845,WAY-204688
1846,WAY-600
1847,WHI-P97
1848,WIN-55212-2
1849,WP-1066
1850,WS3
1851,WYE-125132
1852,WYE-354
1853,WYE-687
1854,WZ-3146
1855,WZ-4002
1856,WZ-8040
1857,Warfarin sodium
1858,Withaferin A
1859,Wnt-C59
1860,Wyeth Cot inhibitor-2
1861,XL-147
1862,XL-647
1863,XL-765
1864,XMD8-92
1865,XRP-44X
1866,Ximelagatran
1867,Xylometazoline hydrochloride
1868,Y-27632
1869,Y-39983
1870,YK-4-279
1871,YK-72
1872,YM-201636
1873,YO-01027
1874,YW3-56
1875,Yohimbine
1876,ZM-336372
1877,ZM-447439
1878,ZSTK-474
1879,Zafirlukast
1880,Zalcitabine
1881,Zaldaride maleate
1882,Zaltoprofen
1883,Zanamivir
1884,Zibotentan
1885,Zidovudine
1886,Zileuton
1887,Zilpaterol
1888,Ziprasidone hydrochloride
1889,Zoledronic acid monohydrate
1890,Zolmitriptan
1891,anagrelide
1892,beta-Carotene
1893,beta-Estradiol
1894,beta-Lapachone
1895,beta-Sitosterol
1896,c-FMS inhibitor
1897,cPEPCK inhibitor
1898,cycloheximide
1899,l-Taurine
1900,methyl jasmonate
1901,nan
1902,nor-Binaltorphimine
1903,purmorphamine
1904,rac Nebivolol hydrochloride
